Height  Preorder  Postorder
  2      0.0000    0.000039
  3      0.0001    0.000132
  4      0.0004    0.000400
  5      0.0013    0.001277
  6      0.0037    0.003731
  7      0.0119    0.011601
  8      0.0458    0.037259
  9      0.1429    0.133647
  10      0.4237    0.416378
  11      1.2737    1.324784
  12      4.0686    4.027022
  13      12.4969    12.556012
  14      39.9075    39.935290
